dataset_ID;gene_symbol;HGNC_updated;system;stress_type;technique;consensus;comb_technique;consensus_comb_technique (+1 reward);consensus_class
HeLa_ars_G3BP1_fanci_wt;COPA;WAHR;HeLa;arsenite;fanci;5;bp_pl_fanci;6;medium
HeLa_osm_G3BP1_fanci_wt;COPA;WAHR;HeLa;osmosis;fanci;5;bp_pl_fanci;6;medium
HEK293T_sorb_G3BP1_pl_wt;COPB1;WAHR;HEK293T;sorbitol;pl;6;bp_pl_fanci;7;medium
U2OS_ars_G3BP1_pl_wt;COPB1;WAHR;U-2 OS;arsenite;pl;6;bp_pl_fanci;7;medium
Tcell_stim_G3BP1_bp_wt;COPB1;WAHR;T cell;stimulation;bp;6;bp_pl_fanci;7;medium
HeLa_ars_G3BP1_fanci_wt;COPB1;WAHR;HeLa;arsenite;fanci;6;bp_pl_fanci;7;medium
HeLa_heat_G3BP1_fanci_wt;COPB1;WAHR;HeLa;heatshock;fanci;6;bp_pl_fanci;7;medium
HeLa_UV_G3BP1_fanci_wt;COPB1;WAHR;HeLa;UV-light;fanci;6;bp_pl_fanci;7;medium
HEK293T_ars_G3BP1_pl_wt;COPB2;WAHR;HEK293T;arsenite;pl;7;bp_pl_pic_fanci;8;medium
U2OS_ars_G3BP1_pl_wt;COPB2;WAHR;U-2 OS;arsenite;pl;7;bp_pl_pic_fanci;8;medium
Tcell_stim_G3BP1_bp_wt;COPB2;WAHR;T cell;stimulation;bp;7;bp_pl_pic_fanci;8;medium
HeLa_ars_G3BP1_pic_wt;COPB2;WAHR;HeLa;arsenite;pic;7;bp_pl_pic_fanci;8;medium
HeLa_ars_G3BP1_fanci_wt;COPB2;WAHR;HeLa;arsenite;fanci;7;bp_pl_pic_fanci;8;medium
HeLa_heat_G3BP1_fanci_wt;COPB2;WAHR;HeLa;heatshock;fanci;7;bp_pl_pic_fanci;8;medium
HeLa_osm_G3BP1_fanci_wt;COPB2;WAHR;HeLa;osmosis;fanci;7;bp_pl_pic_fanci;8;medium
HeLa_UV_G3BP1_fanci_wt;COPB2-DT;WAHR;HeLa;UV-light;fanci;1;fanci;1;low
Tcell_stim_G3BP1_bp_wt;COPG1;WAHR;T cell;stimulation;bp;2;bp_fanci;3;low
HeLa_osm_G3BP1_fanci_wt;COPG1;WAHR;HeLa;osmosis;fanci;2;bp_fanci;3;low
Tcell_stim_G3BP1_bp_wt;COPG2;WAHR;T cell;stimulation;bp;2;bp_fanci;3;low
HeLa_UV_G3BP1_fanci_wt;COPG2;WAHR;HeLa;UV-light;fanci;2;bp_fanci;3;low
Tcell_stim_G3BP1_bp_wt;COPS2;WAHR;T cell;stimulation;bp;4;bp_fanci;5;medium
HeLa_ars_G3BP1_fanci_wt;COPS2;WAHR;HeLa;arsenite;fanci;4;bp_fanci;5;medium
HeLa_osm_G3BP1_fanci_wt;COPS2;WAHR;HeLa;osmosis;fanci;4;bp_fanci;5;medium
HeLa_UV_G3BP1_fanci_wt;COPS2;WAHR;HeLa;UV-light;fanci;4;bp_fanci;5;medium
U2OS_ars_G3BP1_pl_wt;COPS4;WAHR;U-2 OS;arsenite;pl;4;bp_pl_fanci;5;medium
PC3_ars_G3BP1_pl_wt;COPS4;WAHR;PC3;arsenite;bp;4;bp_pl_fanci;5;medium
HEK293T_hip_elF4A1_pl_wt;COPS4;WAHR;HEK293T;hippuristanol;pl;4;bp_pl_fanci;5;medium
HeLa_ars_G3BP1_fanci_wt;COPS4;WAHR;HeLa;arsenite;fanci;4;bp_pl_fanci;5;medium
HeLa_ars_G3BP1_pic_wt;COPS5;WAHR;HeLa;arsenite;pic;2;pic_fanci;3;low
HeLa_ars_G3BP1_fanci_wt;COPS5;WAHR;HeLa;arsenite;fanci;2;pic_fanci;3;low
PC3_ars_G3BP1_pl_wt;COPS6;WAHR;PC3;arsenite;bp;1;bp;1;low
HeLa_ars_G3BP1_fanci_wt;COPS7A;WAHR;HeLa;arsenite;fanci;2;fanci;2;low
HeLa_osm_G3BP1_fanci_wt;COPS7A;WAHR;HeLa;osmosis;fanci;2;fanci;2;low
HeLa_ars_G3BP1_fanci_wt;COPS7B;WAHR;HeLa;arsenite;fanci;2;fanci;2;low
HeLa_osm_G3BP1_fanci_wt;COPS7B;WAHR;HeLa;osmosis;fanci;2;fanci;2;low
PC3_ars_G3BP1_pl_wt;COPS8;WAHR;PC3;arsenite;bp;5;bp_fanci;6;medium
HeLa_ars_G3BP1_fanci_wt;COPS8;WAHR;HeLa;arsenite;fanci;5;bp_fanci;6;medium
HeLa_heat_G3BP1_fanci_wt;COPS8;WAHR;HeLa;heatshock;fanci;5;bp_fanci;6;medium
HeLa_osm_G3BP1_fanci_wt;COPS8;WAHR;HeLa;osmosis;fanci;5;bp_fanci;6;medium
HeLa_UV_G3BP1_fanci_wt;COPS8;WAHR;HeLa;UV-light;fanci;5;bp_fanci;6;medium
HeLa_UV_G3BP1_fanci_wt;COPS8-DT;WAHR;HeLa;UV-light;fanci;1;fanci;1;low
PC3_ars_G3BP1_pl_wt;COPS9;WAHR;PC3;arsenite;bp;1;bp;1;low
Tcell_stim_G3BP1_bp_wt;COPZ1;WAHR;T cell;stimulation;bp;4;bp_fanci;5;medium
